Symbol,Security,Index,Exchange
PFG,Principal Financial Group,S&P 500,NYSE
PG,Procter & Gamble,S&P 500,NYSE
PGR,Progressive Corporation,S&P 500,NYSE
PLD,Prologis,S&P 500,NYSE
PRU,Prudential Financial,S&P 500,NYSE
PEG,Public Service Enterprise Group,S&P 500,NYSE
PTC,PTC Inc.,S&P 500,NYSE
PSA,Public Storage,S&P 500,NYSE
PHM,PulteGroup,S&P 500,NYSE
PWR,Quanta Services,S&P 500,NYSE
QCOM,Qualcomm,S&P 500,NYSE
DGX,Quest Diagnostics,S&P 500,NYSE
Q,Qnity Electronics,S&P 500,NYSE
RL,Ralph Lauren Corporation,S&P 500,NYSE
RJF,Raymond James Financial,S&P 500,NYSE
RTX,RTX Corporation,S&P 500,NYSE
O,Realty Income,S&P 500,NYSE
REG,Regency Centers,S&P 500,NYSE
REGN,Regeneron Pharmaceuticals,S&P 500,NYSE
RF,Regions Financial Corporation,S&P 500,NYSE
RSG,Republic Services,S&P 500,NYSE
RMD,ResMed,S&P 500,NYSE
RVTY,Revvity,S&P 500,NYSE
HOOD,Robinhood Markets,S&P 500,NYSE
ROK,Rockwell Automation,S&P 500,NYSE
ROL,"Rollins, Inc.",S&P 500,NYSE
ROP,Roper Technologies,S&P 500,NYSE
ROST,Ross Stores,S&P 500,NYSE
RCL,Royal Caribbean Group,S&P 500,NYSE
SPGI,S&P Global,S&P 500,NYSE
CRM,Salesforce,S&P 500,NYSE
SNDK,Sandisk,S&P 500,NYSE
SBAC,SBA Communications,S&P 500,NYSE
SLB,Schlumberger,S&P 500,NYSE
STX,Seagate Technology,S&P 500,NYSE
SRE,Sempra,S&P 500,NYSE
NOW,ServiceNow,S&P 500,NYSE
SHW,Sherwin-Williams,S&P 500,NYSE
SPG,Simon Property Group,S&P 500,NYSE
SWKS,Skyworks Solutions,S&P 500,NYSE
SJM,J.M. Smucker Company (The),S&P 500,NYSE
SW,Smurfit Westrock,S&P 500,NYSE
SNA,Snap-on,S&P 500,NYSE
SOLV,Solventum,S&P 500,NYSE
SO,Southern Company,S&P 500,NYSE
LUV,Southwest Airlines,S&P 500,NYSE
SWK,Stanley Black & Decker,S&P 500,NYSE
SBUX,Starbucks,S&P 500,NYSE
STT,State Street Corporation,S&P 500,NYSE
STLD,Steel Dynamics,S&P 500,NYSE
STE,Steris,S&P 500,NYSE
SYK,Stryker Corporation,S&P 500,NYSE
SMCI,Supermicro,S&P 500,NYSE
SYF,Synchrony Financial,S&P 500,NYSE
SNPS,Synopsys,S&P 500,NYSE
SYY,Sysco,S&P 500,NYSE
TMUS,T-Mobile US,S&P 500,NYSE
TROW,T. Rowe Price,S&P 500,NYSE
TTWO,Take-Two Interactive,S&P 500,NYSE
TPR,"Tapestry, Inc.",S&P 500,NYSE
TRGP,Targa Resources,S&P 500,NYSE
TGT,Target Corporation,S&P 500,NYSE
TEL,TE Connectivity,S&P 500,NYSE
TDY,Teledyne Technologies,S&P 500,NYSE
TER,Teradyne,S&P 500,NYSE
TSLA,"Tesla, Inc.",S&P 500,NYSE
TXN,Texas Instruments,S&P 500,NYSE
TPL,Texas Pacific Land Corporation,S&P 500,NYSE
TXT,Textron,S&P 500,NYSE
TMO,Thermo Fisher Scientific,S&P 500,NYSE
TJX,TJX Companies,S&P 500,NYSE
TKO,TKO Group Holdings,S&P 500,NYSE
TTD,Trade Desk (The),S&P 500,NYSE
TSCO,Tractor Supply,S&P 500,NYSE
TT,Trane Technologies,S&P 500,NYSE
TDG,TransDigm Group,S&P 500,NYSE
TRV,Travelers Companies (The),S&P 500,NYSE
TRMB,Trimble Inc.,S&P 500,NYSE
TFC,Truist Financial,S&P 500,NYSE
TYL,Tyler Technologies,S&P 500,NYSE
TSN,Tyson Foods,S&P 500,NYSE
USB,U.S. Bancorp,S&P 500,NYSE
UBER,Uber,S&P 500,NYSE
UDR,"UDR, Inc.",S&P 500,NYSE
ULTA,Ulta Beauty,S&P 500,NYSE
UNP,Union Pacific Corporation,S&P 500,NYSE
UAL,United Airlines Holdings,S&P 500,NYSE
UPS,United Parcel Service,S&P 500,NYSE
URI,United Rentals,S&P 500,NYSE
UNH,UnitedHealth Group,S&P 500,NYSE
UHS,Universal Health Services,S&P 500,NYSE
VLO,Valero Energy,S&P 500,NYSE
VEEV,Veeva Systems,S&P 500,NYSE
VTR,Ventas,S&P 500,NYSE
VLTO,Veralto,S&P 500,NYSE
VRSN,Verisign,S&P 500,NYSE
VRSK,Verisk Analytics,S&P 500,NYSE
VZ,Verizon,S&P 500,NYSE
VRTX,Vertex Pharmaceuticals,S&P 500,NYSE
VRT,Vertiv,S&P 500,NYSE
VTRS,Viatris,S&P 500,NYSE
VICI,Vici Properties,S&P 500,NYSE
V,Visa Inc.,S&P 500,NYSE
VST,Vistra Corp.,S&P 500,NYSE
VMC,Vulcan Materials Company,S&P 500,NYSE
WRB,W. R. Berkley Corporation,S&P 500,NYSE
GWW,W. W. Grainger,S&P 500,NYSE
WAB,Wabtec,S&P 500,NYSE
WMT,Walmart,S&P 500,NYSE
DIS,Walt Disney Company (The),S&P 500,NYSE
WBD,Warner Bros. Discovery,S&P 500,NYSE
WM,Waste Management,S&P 500,NYSE
WAT,Waters Corporation,S&P 500,NYSE
WEC,WEC Energy Group,S&P 500,NYSE
WFC,Wells Fargo,S&P 500,NYSE
WELL,Welltower,S&P 500,NYSE
WST,West Pharmaceutical Services,S&P 500,NYSE
WDC,Western Digital,S&P 500,NYSE
WY,Weyerhaeuser,S&P 500,NYSE
WSM,"Williams-Sonoma, Inc.",S&P 500,NYSE
WMB,Williams Companies,S&P 500,NYSE
WTW,Willis Towers Watson,S&P 500,NYSE
WDAY,"Workday, Inc.",S&P 500,NYSE
WYNN,Wynn Resorts,S&P 500,NYSE
XEL,Xcel Energy,S&P 500,NYSE
XYL,Xylem Inc.,S&P 500,NYSE
YUM,Yum! Brands,S&P 500,NYSE
ZBRA,Zebra Technologies,S&P 500,NYSE
ZBH,Zimmer Biomet,S&P 500,NYSE
ZTS,Zoetis,S&P 500,NYSE
RKLB,Rocket Lab Corporation,Russell 2000,NASDAQ
MSTR,MicroStrategy Incorporated,Russell 2000,NASDAQ
RIVN,Rivian Automotive,Russell 2000,NASDAQ
LCID,Lucid Group,Russell 2000,NASDAQ
SOFI,SoFi Technologies,Russell 2000,NASDAQ
SNOW,Snowflake Inc.,Russell 2000,NYSE
ARM,Arm Holdings,NASDAQ-100,NASDAQ
SMCI,Super Micro Computer,Russell 2000,NASDAQ
IONQ,IonQ Inc.,Russell 2000,NYSE
JOBY,Joby Aviation,Russell 2000,NYSE
ACHR,Archer Aviation,Russell 2000,NYSE
ASTS,AST SpaceMobile,Russell 2000,NASDAQ
DUOL,Duolingo,Russell 2000,NASDAQ
CELH,Celsius Holdings,Russell 2000,NASDAQ
